,2011-01-01,2011-04-02,2011-07-02,2011-10-01,2011-12-31,2012-03-31,2012-06-30,2012-09-29,2012-12-29,2013-03-30,2013-06-29,2013-09-28,2013-12-28,2014-03-29,2014-06-28,2014-09-27,2015-01-03,2015-04-04,2015-07-04,2015-10-03,2016-01-02,2016-04-02,2016-07-02,2016-10-01,2016-12-31,2017-04-01,2017-07-01
DerivativeFairValueOfDerivativeLiability,,,4400000.000,13300000.000,11000000.000,3000000.000,10500000.000,3300000.000,1800000.000,4800000.000,10000000.000,2500000.000,5600000.000,1200000.000,4900000.000,15200000.000,14700000.000,16200000.000,1900000.000,6000000.000,5900000.000,4300000.000,7600000.000,2300000.000,13500000.000,2500000.000,3000000.000
DividendsPayableAmountPerShare,,,,,0.340,,,,0.380,,,,0.440,,,,0.530,,,,0.610,,,,0.710,,
EquityMethodInvestments,,,43200000.000,40000000.000,40700000.000,42700000.000,42700000.000,44900000.000,13500000.000,12900000.000,13400000.000,14000000.000,14200000.000,14500000.000,14500000.000,13700000.000,13300000.000,12300000.000,13300000.000,,,,,,,,
ExcessOfReplacementOrCurrentCostsOverStatedLIFOValue,,,70100000.000,-70100000.000,-70100000.000,-70600000.000,-71000000.000,71500000.000,71800000.000,71800000.000,72100000.000,72200000.000,-72600000.000,-72600000.000,-72600000.000,-72600000.000,-72600000.000,-72900000.000,-73000000.000,-73200000.000,-73300000.000,-73300000.000,-73300000.000,-73300000.000,-73200000.000,73700000.000,74000000.000
FIFOInventoryAmount,,,462300000.000,469800000.000,456500000.000,466400000.000,472400000.000,489000000.000,476000000.000,473100000.000,490200000.000,512500000.000,507000000.000,525200000.000,540100000.000,557200000.000,548100000.000,555200000.000,572200000.000,600900000.000,571100000.000,584900000.000,580400000.000,596900000.000,603700000.000,630500000.000,675400000.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,124900000.000,128600000.000,134000000.000,141100000.000,146900000.000,154400000.000,161000000.000,165800000.000,171600000.000,179300000.000,185600000.000,190700000.000,197000000.000,201700000.000,206200000.000,209800000.000,217900000.000,223200000.000,228700000.000,234600000.000,238500000.000,243200000.000,247500000.000,255000000.000,262700000.000
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,,,,,,,,,,8400000.000,8900000.000,9000000.000,9000000.000,8700000.000,8600000.000,9200000.000,,12100000.000,12200000.000,12000000.000,,11100000.000,12300000.000,12200000.000,,10100000.000,9600000.000
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,,,,,,,21100000.000,22600000.000,22700000.000,,,,,,,24300000.000,,,,22000000.000,,,,23200000.000,26900000.000,26900000.000
FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear,,,,,,,,,,,24300000.000,25300000.000,,23600000.000,23900000.000,24300000.000,,24600000.000,24700000.000,24600000.000,,22200000.000,23500000.000,23600000.000,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,,,,,,,,9100000.000,9800000.000,9800000.000,10100000.000,10100000.000,10400000.000,9000000.000,9000000.000,9600000.000,12800000.000,12900000.000,13800000.000,13600000.000,12000000.000,12500000.000,14000000.000,13900000.000,12200000.000,14800000.000,14400000.000
