,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30
GainLossOnSaleOfSecuritiesNet,7300000.000,14600000.000,7500000.000,8000000.000,7700000.000,9200000.000,7000000.000,3500000.000,7800000.000,8900000.000,11500000.000,5600000.000,2700000.000,3400000.000,4300000.000,6200000.000,14300000.000,7400000.000,5000000.000,7100000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-137600000.000,-52000000.000,-2000000.000,-2700000.000,-5600000.000,20900000.000,20000000.000,6300000.000,18700000.000,16300000.000,27700000.000,3100000.000,13100000.000,-17100000.000,33200000.000,3400000.000,29900000.000,800000.000,3800000.000,-25100000.000
IncomeTaxExpenseBenefit,63800000.000,6700000.000,,,-100000.000,,300000.000,100000.000,200000.000,-100000.000,600000.000,100000.000,1200000.000,-82500000.000,8500000.000,700000.000,9200000.000,-2300000.000,800000.000,-500000.000
IncomeTaxExpenseBenefitContinuingOperations,,,,,-100000.000,,,,,,,,,,,,,,,
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,,,,2800000.000,4200000.000,,-4600000.000,200000.000,-3600000.000,-3800000.000,-7200000.000,400000.000,-1400000.000,-74400000.000,0.000,0.000,0.000,0.000,,
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,,,-900000.000,-1900000.000,,7000000.000,2200000.000,6600000.000,5700000.000,9700000.000,1100000.000,4600000.000,-6000000.000,11600000.000,1200000.000,10500000.000,200000.000,1300000.000,-8700000.000
IncomeTaxReconciliationOtherAdjustments,,,,300000.000,-100000.000,,200000.000,100000.000,-300000.000,200000.000,200000.000,700000.000,100000.000,100000.000,-900000.000,1800000.000,800000.000,-400000.000,1500000.000,10100000.000
IncreaseDecreaseInAccruedIncomeTaxesPayable,,,,,,,300000.000,,,,700000.000,,,,9000000.000,,,,1100000.000,
IncreaseDecreaseInAccruedInvestmentIncomeReceivable,,,,,,,9000000.000,,,,10600000.000,,,,49600000.000,,,,-4900000.000,
IncreaseDecreaseInDeferredPolicyAcquisitionCosts,,,2500000.000,,,,2800000.000,,,,2900000.000,,,,900000.000,,,,-1600000.000,
IncreaseDecreaseInPensionAndPostretirementObligations,,,-1100000.000,,,,-1700000.000,,,,1700000.000,,,,-700000.000,,,,-1800000.000,
IncreaseDecreaseInPropertyAndCasualtyInsuranceLiabilities,,,13100000.000,,,,2100000.000,,,,-8200000.000,,,,14500000.000,,,,30500000.000,
