,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
Assets,2946546000.000,3008601000.000,2953529000.000,2965581000.000,3013398000.000,3025307000.000,3059905000.000,3249600000.000,3200549000.000,3308921000.000,3324511000.000,3331731000.000,3321353000.000,3400533000.000,3476509000.000,3494621000.000,3507172000.000,3653628000.000,3911685000.000,3721454000.000,4162460000.000,4154628000.000,4097129000.000,4016984000.000,4252259000.000
AssetsCurrent,1387619000.000,1439230000.000,1383437000.000,1317220000.000,1345365000.000,1364253000.000,1388964000.000,1572559000.000,1534698000.000,1633893000.000,1633867000.000,1652903000.000,1569851000.000,1644048000.000,1712609000.000,1710027000.000,1755110000.000,1722254000.000,1638751000.000,1455884000.000,1891529000.000,1929434000.000,1857035000.000,1609014000.000,1711433000.000
BankOverdrafts,,,,90000000.000,,,,143000000.000,,,,72400000.000,,,,3000000.000,,,,203000000.000,,,,162400000.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedDeferredTaxLiabilitiesNoncurrent,,,,,,,,,,,,,9000000.000,,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,111970000.000,123431000.000,107283000.000,88279000.000,76526000.000,104637000.000,97181000.000,324422000.000,300046000.000,365897000.000,343149000.000,405505000.000,268584000.000,326853000.000,404836000.000,478573000.000,443689000.000,377254000.000,272276000.000,181988000.000,528877000.000,539992000.000,498730000.000,323992000.000,300067000.000
CashSurrenderValueOfLifeInsurance,,,,56177000.000,,,,51391000.000,,,,56292000.000,,,,42378000.000,,,,41957000.000,,,,43425000.000,
CommercialPaper,,,,,,,,,,,,,,,,,,,,,,,,,107441000.000
CommonStockParOrStatedValuePerShare,0.125,0.125,0.125,0.125,0.125,12.500,12.500,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
CommonStockSharesAuthorized,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000000.000,500000000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000
CommonStockSharesIssued,115761840.000,115761840.000,115761840.000,115761840.000,115761840.000,115761840000.000,115761840000.000,115761840.000,115761840.000,115761840.000,115761840.000,115761840.000,115761840.000,115761900.000,115761900.000,115858190.000,115858190.000,115995113.000,115858190.000,115858190.000,115858190.000,115858190.000,115858190.000,115858190.000,115858190.000
CommonStockSharesOutstanding,80357478.000,80834356.000,80889882.000,80921208.000,81017498.000,81459723000.000,81558970000.000,81626874.000,81573732.000,81741180.000,81594725.000,81384246.000,81221844.000,81177534.000,81113493.000,80777590.000,80761617.000,80862556.000,80356014.000,80022291.000,79777759.000,79640930.000,79476755.000,79213037.000,78948036.000
CommonStockValue,14470000.000,14470000.000,14470000.000,14470000.000,14470000.000,14470000.000,14470000.000,14470000.000,14470000.000,14470000.000,14470000.000,14470000.000,14470000.000,14470000.000,14470000.000,14470000.000,14470000.000,14470000.000,14470000.000,14470000.000,14470000.000,14470000.000,14470000.000,14470000.000,14470000.000
