,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31
ComprehensiveIncomeNetOfTax,,,-2452000.000,-518000.000,11813000.000,12049000.000,2722000.000,3187000.000,1486000.000,-4969000.000,-3321000.000,-7018000.000,-14768000.000,-16651000.000,-18462000.000,-14447000.000,-12509000.000,-79826000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,494000.000,520000.000,485000.000,453000.000,221000.000,445000.000,387000.000,348000.000,341000.000,399000.000,409000.000,380000.000,387000.000,419000.000,509000.000,408000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,-1958000.000,2000.000,12298000.000,12502000.000,2943000.000,3632000.000,1873000.000,-4621000.000,-2980000.000,-6619000.000,-14359000.000,-16271000.000,-18075000.000,-14028000.000,-12000000.000,-79418000.000
CurrentStateAndLocalTaxExpenseBenefit,,,,,,,,,,,0.000,,,,,,,
DebtInstrumentInterestRateStatedPercentageRateRangeMaximum,,,,,0.080,,,,,,,,,,,,,
DebtInstrumentInterestRateStatedPercentageRateRangeMinimum,,,,,0.042,,,,,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,,,,-1300000.000,,,,,,,,,,,113000.000,,,
DepreciationAndAmortization,1300000.000,1378000.000,1522000.000,1581000.000,1954000.000,1803000.000,1914000.000,1997000.000,2103000.000,1972000.000,1642000.000,1706000.000,1738000.000,1797000.000,1756000.000,1630000.000,1585000.000,1782000.000
EffectOfExchangeRateOnCashAndCashEquivalents,,,52000.000,,,,-250000.000,,,,-302000.000,,,,-1304000.000,,,
EffectiveIncomeTaxRateContinuingOperations,,,,,,,0.163,,,,,,,,,,,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,0.372,,,,,,,,,,,,,,
FeesAndCommissionsOther,964000.000,706000.000,161000.000,268000.000,164000.000,192000.000,180000.000,151000.000,180000.000,104000.000,,,,,,,,
GainLossOnSaleOfPropertyPlantEquipment,,,,2607000.000,72000.000,,,0.000,0.000,,,,,,,,,
GeneralAndAdministrativeExpense,3281000.000,3364000.000,2628000.000,3055000.000,2791000.000,4179000.000,3448000.000,4000000.000,3330000.000,3640000.000,4043000.000,3538000.000,3549000.000,3327000.000,3307000.000,2988000.000,2758000.000,4601000.000
GoodwillOtherChanges,,,,,,,,,,,,,,,100000.000,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,,,,8500000.000,,1800000.000,,,,,,,,,,,
