,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
BusinessAcquisitionProFormaRevenue,,,3566000000.000,,,,,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionsProFormaNetIncomeLoss,,,,,,,,,,,291000000.000,,,,,,,,,,,,,,,
BusinessAcquisitionsProFormaRevenue,,,,,,,,,,,3623000000.000,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,137000000.000,,,,-69000000.000,,,,113000000.000,,,,281000000.000,,,,-1030000000.000,,,,65000000.000,,,,-2000000.000,
CommonStockDividendsPerShareDeclared,0.340,0.340,0.340,0.340,0.355,0.355,0.355,0.355,0.365,0.365,0.365,0.365,0.375,0.375,0.375,0.375,0.385,0.385,0.385,0.385,0.410,0.410,0.410,0.410,0.425,0.425
ComprehensiveIncomeNetOfTax,213000000.000,239000000.000,157000000.000,,205000000.000,165000000.000,251000000.000,217000000.000,135000000.000,218000000.000,326000000.000,-620000000.000,163000000.000,256000000.000,212000000.000,536000000.000,-202000000.000,290000000.000,278000000.000,237000000.000,327000000.000,296000000.000,288000000.000,318000000.000,312000000.000,395000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,10000000.000,13000000.000,13000000.000,,12000000.000,-11000000.000,9000000.000,33000000.000,8000000.000,12000000.000,6000000.000,6000000.000,9000000.000,12000000.000,11000000.000,8000000.000,-2000000.000,-1000000.000,2000000.000,0.000,-2000000.000,-1000000.000,2000000.000,-1000000.000,-1000000.000,-1000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,223000000.000,252000000.000,170000000.000,306000000.000,217000000.000,176000000.000,260000000.000,228000000.000,143000000.000,230000000.000,332000000.000,-614000000.000,172000000.000,268000000.000,223000000.000,544000000.000,-204000000.000,289000000.000,280000000.000,237000000.000,325000000.000,295000000.000,290000000.000,317000000.000,311000000.000,394000000.000
CostOfGoodsAndServicesSold,,,,,,2260000000.000,2229000000.000,,2209000000.000,2311000000.000,2325000000.000,,2232000000.000,2301000000.000,2299000000.000,2170000000.000,1946000000.000,2163000000.000,2095000000.000,2027000000.000,1993000000.000,2130000000.000,2216000000.000,2147000000.000,2166000000.000,2290000000.000
CostmethodInvestmentsOtherThanTemporaryImpairment,,,,,,,14000000.000,,,,,,,,,,,,,,,,,,,
CostsAndExpenses,2676000000.000,2841000000.000,2979000000.000,2854000000.000,2894000000.000,2993000000.000,2961000000.000,2950000000.000,2934000000.000,3016000000.000,3044000000.000,3910000000.000,2927000000.000,3029000000.000,3056000000.000,2685000000.000,2600000000.000,2813000000.000,2759000000.000,2744000000.000,2668000000.000,2814000000.000,2988000000.000,2843000000.000,2882000000.000,3004000000.000
DeferredIncomeTaxExpenseBenefit,-3000000.000,,,,3000000.000,,,,-25000000.000,,,,-15000000.000,,,,38000000.000,,,,32000000.000,,,,36000000.000,
DepreciationDepletionAndAmortization,299000000.000,319000000.000,317000000.000,294000000.000,317000000.000,323000000.000,331000000.000,326000000.000,323000000.000,339000000.000,344000000.000,327000000.000,317000000.000,339000000.000,329000000.000,307000000.000,292000000.000,322000000.000,330000000.000,301000000.000,312000000.000,340000000.000,336000000.000,313000000.000,328000000.000,356000000.000
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,,,,,,,,,1000000.000,7000000.000,,,,,,,,,,,,,,,,
DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet,,,,,,,,,-1000000.000,26000000.000,,,,,,,,,,,,,,,,
DividendsCommonStockCash,-162000000.000,,,,-164000000.000,,,,170000000.000,,,,,,,,176000000.000,,,,183000000.000,,,,194000000.000,
EarningsPerShareBasic,0.390,0.500,0.580,0.580,0.370,0.450,0.460,0.480,0.360,0.520,0.620,-1.290,0.490,0.450,0.590,1.270,-0.280,0.600,0.750,0.590,0.580,0.650,0.680,0.750,0.680,0.820
EarningsPerShareDiluted,0.390,0.500,0.580,0.570,0.370,0.450,0.460,0.480,0.360,0.520,0.620,-1.290,0.490,0.450,0.580,1.270,-0.280,0.600,0.740,0.590,0.580,0.640,0.680,0.750,0.670,0.810
EffectOfExchangeRateOnCashAndCashEquivalents,2000000.000,,,,1000000.000,,,,-2000000.000,,,,-2000000.000,,,,-3000000.000,,,,,,,,0.000,
EffectiveIncomeTaxRateContinuingOperations,0.359,0.345,0.323,-0.691,0.328,0.343,0.361,-0.692,0.328,0.332,0.343,-0.265,0.296,0.447,0.321,-0.828,0.410,0.296,0.323,-0.738,0.354,0.376,0.337,-0.715,0.317,0.366
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,,,,,,,,,,,,,,,,,,,,,,,,,32000000.000,2000000.000
EquityMethodInvestmentOtherThanTemporaryImpairment,,,,,,,10000000.000,,,,,,,,,,,,,,,,,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,4000000.000,,,,8000000.000,,,,6000000.000,,,,1000000.000,,,,7000000.000,,,,7000000.000,,,,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,4000000.000,,,,8000000.000,,,,6000000.000,,,,1000000.000,,,,7000000.000,,,,7000000.000,,,,,
GainLossOnDispositionOfAssets,,,,,,,,,6000000.000,,,,,,,,,,,,,,,,,
GainLossOnSaleOfOilAndGasProperty,,,,,,,,,-6000000.000,,,,,,,,,,,,,,,,,
GainLossOnSaleOfPropertyPlantEquipment,3000000.000,,,,4000000.000,,,,3000000.000,,,,4000000.000,,,,7000000.000,6000000.000,,,5000000.000,,,,3000000.000,
GainsLossesOnExtinguishmentOfDebt,,,,,,,,,,,,,,,,,-550000000.000,-2000000.000,,,-1000000.000,-3000000.000,,,,
