SEC ID,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
1395317,,,,,,,,,,,,,,,,,,,,,,,,,,
48732,,606000000.000,707000000.000,,531000000.000,676000000.000,748000000.000,585000000.000,532000000.000,656000000.000,745000000.000,644000000.000,630000000.000,698000000.000,839000000.000,679000000.000,617000000.000,705000000.000,827000000.000,697000000.000,656000000.000,763000000.000,909000000.000,731000000.000,638000000.000,
875159,1614858000.000,1695182000.000,1658019000.000,1728744000.000,1752432000.000,1746739000.000,1817484000.000,1913825000.000,1862408000.000,1888216000.000,1878109000.000,1912501000.000,1787824000.000,1823506000.000,1543332000.000,1447605000.000,1422615000.000,2685296000.000,2569702000.000,2631313000.000,2417227000.000,2647422000.000,2588120000.000,2893317000.000,2755361000.000,
1582718,,,,,,,,,,,,,,,,,,,,,,,,,,
1455819,,303221.000,108521.000,,27601.000,37995.000,17081.000,1701.000,7970.000,,,,30759.000,361781.000,,386643.000,,282331.000,,246828.000,487400.000,156514.000,,,,
93389,,,,,,268875000.000,275975000.000,,230708000.000,270126000.000,264162000.000,218708000.000,232752000.000,272540000.000,257046000.000,218054000.000,227589000.000,269382000.000,270037000.000,204967000.000,238911000.000,,,,,
1070494,,460000.000,584000.000,,450000.000,599000.000,3478000.000,380000.000,417000.000,451000.000,240000.000,37000.000,30000.000,28000.000,15000.000,47000.000,4000.000,1000.000,39000.000,17000.000,4000.000,97000.000,5268000.000,11962000.000,15286000.000,
1107332,28061000.000,49555000.000,64287000.000,199710000.000,82074000.000,79992000.000,77971000.000,85493000.000,67594000.000,73315000.000,68002000.000,74835000.000,68780000.000,82211000.000,73123000.000,,,,,,,,,,,
1210294,,,,,,,,,,182376.000,,,435450.000,742564.000,1158587.000,1859676.000,1727000.000,1804000.000,,,,,,,,
1269021,,,,,,,,,,,,,,,,,,,,,,,,,,
1593204,,,,,,,,,,,,,,,,,30141.000,35317.000,21002.000,,9008.000,10944.000,14807.000,,11855.000,6940.000
1434316,,,,,,,,,,,209000.000,,,,,,,,,,,,,,,
740670,,,,,,,,,,,,,,,,,,,,,,,,,,
788611,,,,,,,,,,,,,,,,,,,,,,93824.000,189951.000,,150203.000,
1058290,1371253000.000,1485242000.000,1600954000.000,1663707000.000,1711349000.000,1795220000.000,1891688000.000,1948215000.000,2020738000.000,2161240000.000,2305723000.000,2355488000.000,2422348000.000,2517094000.000,2581009000.000,2742230000.000,2911400000.000,3085100000.000,3187000000.000,3232500000.000,3202000000.000,3369900000.000,3453200000.000,3461900000.000,3546000000.000,
75439,,,5000.000,,24000.000,,61000.000,,11000.000,4000.000,5000.000,4000.000,3000.000,3175000.000,2785000.000,,,2132000.000,2662000.000,,2131000.000,,,,,
1582086,,,,,,,,,,,,,10300000.000,11200000.000,11600000.000,11500000.000,9800000.000,9700000.000,9200000.000,9400000.000,10400000.000,11300000.000,9900000.000,11000000.000,9900000.000,
1347613,,0.000,0.000,,0.000,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,98000.000,
