SEC ID,2010,2011,2012,2013,2014,2015,2016
1424657,,-500775.000,-163475.000,,,,-929442.000
75677,,345514000.000,404205000.000,608201000.000,736100000.000,762600000.000,801200000.000
1522699,,,-445944916.000,52629043.000,51010220.000,21577859.000,
58592,,-8843000.000,-6632000.000,-8316000.000,-2672000.000,,
1084267,,-1786001.000,,-3692630.000,-5878741.000,-9369631.000,-5929852.000
895051,,-4272278.000,-2212189.000,-3275713.000,-3995426.000,-5513409.000,-6023119.000
1163165,,19646000000.000,13922000000.000,16087000000.000,16735000000.000,7572000000.000,4403000000.000
1406243,,-718990.000,-788616.000,-1475790.000,,,
1621227,,,,,,,-48168000.000
1314054,,-1174748.000,-3738579.000,-5058813.000,,,
1580552,,,,,,,
1645026,,,,,,703264000.000,
4281,,2193000000.000,1497000000.000,1578000000.000,1674000000.000,1582000000.000,870000000.000
1581164,,,,311313000.000,370485000.000,428889000.000,418405000.000
216324,,-3639000.000,,,,,
1308208,,34163000.000,70403000.000,57590000.000,79392000.000,78304000.000,68629000.000
1371473,,-51000.000,-111000.000,,,,
1375576,,-1545792.000,-1730809.000,-1563333.000,-1178426.000,-402644.000,
312257,,594564.000,806874.000,1354881.000,940046.000,-3662434.000,3469096.000
748270,,4013000.000,19748000.000,,,,
1031296,,3063000000.000,2320000000.000,2662000000.000,2713000000.000,3447000000.000,3371000000.000
1206942,,28033401.000,18581908.000,24327715.000,79230916.000,50830605.000,29397743.000
1339553,,,,,,,
748790,,-2933448.000,-2816849.000,-1619346.000,-660672.000,,
724004,,12489000.000,11402000.000,12373000.000,10816000.000,16903000.000,7750000.000
1125280,,,-1064556.000,-1159641.000,,,
1021270,,11852000.000,9626000.000,15600000.000,12679000.000,1984000.000,344000.000
1035422,,-316132.000,-1027011.000,-136229.000,-72250.000,,
1441573,,,,,,,
356130,,11765491.000,55038140.000,86832946.000,91815000.000,85612000.000,83434000.000
1471089,,-115146.000,,,,,
1579241,,,,,255900000.000,257000000.000,377500000.000
1518041,,-3746320.000,,-41425.000,,,
1486315,,-10222.000,,-1059390.000,-2352292.000,,
1372664,,-3004000.000,,,,,
1378590,,823000.000,279000.000,-77000.000,-3848000.000,-2763000.000,-2682000.000
1527727,,-25204.000,-29728.000,-38042.000,-35915.000,,-38940.000
1069530,,-260000.000,-7171000.000,-6947000.000,-9549000.000,-9053000.000,-12234000.000
1005201,,57651000.000,-30985000.000,9754000.000,-55917000.000,143892000.000,65501000.000
751364,,182946000.000,228130000.000,274421000.000,296733000.000,341095000.000,415337000.000
1412270,,,,,-24284000.000,-4964000.000,15111000.000
1382230,,10188000.000,5327000.000,23194000.000,14468000.000,19336000.000,18159000.000
1048268,,-11852000.000,-7371000.000,1954.000,12598000.000,11506000.000,24968000.000
1559865,,,,62867000.000,139948000.000,162419000.000,168054000.000
320017,,-20927994.000,-13852518.000,-27101693.000,-46895238.000,-39258331.000,-23667682.000
1518985,,,-87362.000,-139292.000,-29829.000,-151190.000,-195545.000
1471487,,-181891.000,-109071.000,,,,
1598683,,,,,,-31653.000,-46596.000
1341235,,,,,-4775994.000,-9311753.000,-15147512.000
707886,,32735000.000,22526000.000,26036000.000,-2762000.000,13750000.000,8510000.000
864749,,241629000.000,340700000.000,414635000.000,407083000.000,354900000.000,407100000.000
1547546,,,,13327928.000,20744225.000,2063476.000,2341010.000
727510,,-12725000.000,8452000.000,14005000.000,32338000.000,14678000.000,2599000.000
1307345,,,,,,,
1073149,,,,,,,
830052,,125297.000,445352.000,294232.000,-607732.000,,
1543395,,,-126606.000,-208540.000,-213061.000,,
1141719,,235567000.000,313113000.000,,,,
914138,,-21497000.000,28356000.000,67091000.000,48789000.000,12303000.000,15977000.000
1682745,,,,,,,
1564273,,,,-11861.000,-17614.000,,-215821.000
1366391,,-33795.000,-22681.000,,,,
831355,,123247.000,-49268.000,,-683751.000,-773122.000,
713002,2925000.000,12711000.000,7887000.000,,,,
30419,,,,,,,
1342287,,15185000.000,34892000.000,51548000.000,38249000.000,48822000.000,
728331,,-136355.000,1506368.000,2178449.000,574204.000,,
33992,,7253489.000,6375322.000,7383537.000,17332972.000,20401907.000,15201025.000
1606808,,,,,-43310.000,,
22606,,4853000000.000,6131000000.000,6343000000.000,4457000000.000,7616000000.000,8445000000.000
1561206,,,,-41138.000,-18257.000,-14612.000,-14539.000
1420033,,-3834.000,-6177.000,-5944.000,,-3999.000,
946647,,38739000.000,31910000.000,39363000.000,30065000.000,30652000.000,26984000.000
949373,,39110000.000,48511000.000,42625000.000,,,
1470701,,,,,,,
1174290,,,,,,,
708870,,473000.000,681000.000,459000.000,678000.000,,
1637880,,,,,,212144000.000,250788000.000
1532750,,71437000.000,16486000.000,122900000.000,190423000.000,172804000.000,
98338,,358826.000,-1035640.000,523987.000,713522.000,1227840.000,
1592745,,,,,,,767000.000
1387713,,-3556164.000,-4876824.000,9481182.000,7239550.000,18359000.000,12546000.000
1115836,,45720000.000,45612000.000,67124000.000,51336000.000,67924000.000,61541000.000
1365916,,-92496000.000,-150872000.000,-105859000.000,-84708000.000,-85132000.000,-82367000.000
1427352,,-724516.000,-366229.000,,,,
1331465,,723000000.000,422000000.000,377000000.000,237000000.000,389000000.000,230000000.000
1610466,,,,,123600000.000,282700000.000,293000000.000
1584831,,,,,8679000.000,8126000.000,416000.000
805022,,403892000.000,441636000.000,385494000.000,599642000.000,710192000.000,717917000.000
1646188,,,,,,,-28992.000
1116112,,-414513.000,,,,,
1437557,,-570247.000,-3389403.000,-1218430.000,-7306237.000,-3805301.000,-6309000.000
1436164,,-371783.000,-1728839.000,-794064.000,,,
1478974,,-97698.000,-69125.000,,,,
1558009,,,,-36056.000,-78901.000,-4050786.000,
1359425,,-19974000.000,-10172000.000,,,,
1383534,,-23765.000,,,,,
1275187,,11497000.000,26883000.000,25280000.000,26242000.000,45216000.000,
1302834,,-623000.000,,,,,
1512499,,,,-595647.000,-764804.000,40302000.000,31427000.000
1254419,,124196000.000,157873000.000,152902000.000,139015000.000,,
1343719,,785514000.000,638148000.000,545460000.000,330753000.000,-166655000.000,
1502774,,-22725.000,-2911841.000,-1656982.000,,,
1169652,,,,-5314000.000,-21535000.000,-1459000.000,11571000.000
1055355,,2089000.000,,,,,
1527622,,49419000.000,35097000.000,72475000.000,107690000.000,82851000.000,
861955,,7484000.000,,,,,
1263762,,10586000.000,8450000.000,4678000.000,3399000.000,6883000.000,8481000.000
1100380,,,,,,,
110027,,-301585.000,-415470.000,-423401.000,-392116.000,-340681.000,
27879,,686000000.000,592000000.000,497000000.000,854000000.000,939000000.000,8445000000.000
1179500,,8775000.000,23200000.000,5498000.000,5761000.000,-276000.000,3841000.000
1368775,,249983000.000,452509000.000,313921000.000,,,
1662706,,,,,,,
1111284,,,,,,,
314197,,0.000,0.000,0.000,-208589.000,,
1124524,,-6780134.000,-4785144.000,-4380659.000,-4127702.000,-6305690.000,
1009759,,-21438000.000,-17070000.000,-15432000.000,-23018000.000,-22470000.000,-18546000.000
1418065,,,1287323.000,-2421075.000,,,
1262823,,362296000.000,624054000.000,752729000.000,1032376000.000,1078836000.000,833852000.000
1501756,,,,,-5648000.000,-35338000.000,-38366000.000
87050,,-3453000.000,-3744000.000,-8801000.000,-11824000.000,-8063000.000,-6252000.000
1667489,,,,,,,3088821.000
1526726,,,-47170.000,,-52251.000,-69175.000,-53527.000
1517228,,,,,289418000.000,302060000.000,606225000.000
1267425,,-203114.000,-889645.000,-197367.000,-8541.000,114279.000,272190.000
1011835,,-75961000.000,-102720000.000,-68209000.000,240599000.000,219939000.000,
1405041,,109000000.000,-95000000.000,-150000000.000,,128000000.000,142000000.000
890447,,-70866.000,3000114.000,4392630.000,-1525488.000,-12970898.000,-14145607.000
1325814,,251218000.000,205872000.000,114191000.000,147427000.000,189000000.000,660000000.000
1362516,,-770479.000,-189976.000,,-217683.000,-155339.000,-49063.000
1653629,,,,,,-45075.000,
1533427,,,-1002466.000,,-1273707.000,,
860546,,152143000.000,191838000.000,158979000.000,193885000.000,204008000.000,232538000.000
1362004,,59521000.000,87241000.000,81032000.000,79160000.000,76319000.000,79563000.000
1657250,,,,,,,95533.000
918646,44083000.000,60852000.000,124407000.000,170633000.000,234121000.000,265767000.000,331598000.000
1419069,,-1438.000,-9758.000,,,,
1626853,,,,,,-5751000.000,10361000.000
1041550,,11216000.000,9339000.000,9315000.000,10136000.000,6436000.000,6520000.000
878079,,99797000.000,73270000.000,120067000.000,46629000.000,17822000.000,58964000.000
1285236,,,-718692.000,-920807.000,,,
923139,,64720000.000,71097000.000,74435000.000,57376000.000,44730000.000,42395000.000
712771,,18084000.000,21066000.000,23153000.000,26015000.000,52302000.000,49712000.000
934936,,,,,,,
1117480,,,,-25559000.000,-47077000.000,-99890000.000,-63815000.000
949870,,72760000.000,95330000.000,99982000.000,141211000.000,168683000.000,154189000.000
887568,,,,,,,
1392449,,,-668.000,0.000,0.000,0.000,0.000
63276,,664693000.000,1275650000.000,698426000.000,888564000.000,734557000.000,594509000.000
1354071,,-8636620.000,-1076648.000,,,,
315261,,1630588.000,1170239.000,1846815.000,,,
1283140,,,161411000.000,183080000.000,186640000.000,232994000.000,242748000.000
47217,,12639000000.000,10571000000.000,11608000000.000,12333000000.000,6490000000.000,3230000000.000
33619,,192429000.000,194171000.000,250772000.000,216364000.000,,167158000.000
1130889,,-1846.000,258.000,-9032.000,-6549.000,-7090.000,-6973.000
1559845,,,,-189911.000,,,
1316360,,342050000.000,314373000.000,496155000.000,628099000.000,612639000.000,
1610758,,,,,136387000.000,,
1506251,,-20781.000,-20324.000,-20604.000,,-2385416.000,-5900421.000
1565220,,,,-33241.000,,,
1323531,,4362000.000,31718000.000,,,,
83246,,362000000.000,8367000000.000,-1359000000.000,5950000000.000,4651000000.000,-3000000.000
