SEC ID,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
1321732,,,,,,,,,,,,,,,,,,,249077000.000,244361000.000,253651000.000,260252000.000,267223000.000,263827000.000,372362000.000,
1579717,,,,,,,,,,,,,,,,,76343.000,,,,,,,,,
1374310,,,207319000.000,189682000.000,214874000.000,201947000.000,238448000.000,202909000.000,275424000.000,296676000.000,,308861000.000,276022000.000,243935000.000,222726000.000,244107000.000,209385000.000,194619000.000,222700000.000,204118000.000,184691000.000,173872000.000,206583000.000,235045000.000,455700000.000,
1126956,351135000.000,344650000.000,369134000.000,415513000.000,277810000.000,261691000.000,343016000.000,400063000.000,459913000.000,841389000.000,475880000.000,570724000.000,541631000.000,995200000.000,604900000.000,816100000.000,637200000.000,483000000.000,530100000.000,636000000.000,503800000.000,453400000.000,569600000.000,815600000.000,684300000.000,
72316,,4623177.000,4878916.000,4387318.000,3613462.000,3286923.000,3313292.000,2742150.000,2710813.000,2669854.000,1587851.000,,,,,,,,,,,,,,,
1230634,,,,,,,,,,,,,,,,,,,,,,,,,,
1451929,,,419381.000,,203193.000,526428.000,295798.000,,211561.000,100899.000,0.000,,,,0.000,1270000.000,1068620.000,133321.000,43677.000,112809.000,215158.000,,,,,
1223112,,49296000.000,25619000.000,51225000.000,40375000.000,42205000.000,32258000.000,25291000.000,42357000.000,,,,,,,,,,,,,,,,,
1511863,,,,,,,,,,,,,,,,,,,,,,,,,,
1560443,,,,,,,,,9264000.000,9149000.000,9314000.000,21014000.000,20077000.000,53218000.000,54080000.000,60238000.000,46245000.000,38741000.000,28159000.000,,,,,,,
1022652,,154177000.000,162584000.000,160187000.000,153121000.000,147026000.000,139883000.000,140731000.000,127545000.000,121697000.000,124549000.000,95629000.000,85214000.000,77280000.000,84776000.000,87781000.000,96905000.000,187387000.000,93858000.000,110976000.000,99650000.000,94259000.000,97022000.000,68447000.000,75435000.000,
73605,,,,11437865.000,,8604220.000,7776678.000,7188931.000,7031725.000,6112941.000,4713369.000,4373049.000,3973149.000,4519187.000,4657495.000,4470696.000,4169445.000,3063560.000,2917490.000,2755400.000,2568258.000,1620382.000,1335611.000,,,
1598924,,,,,,,,,,,,,,,45931.000,219.000,267.000,3837306.000,4696023.000,3985108.000,3797590.000,3797357.000,3785118.000,,,
1094058,,3691000.000,2385000.000,1163000.000,730000.000,,1102000.000,,,,,,,,,,,,,,,,,,,
1555492,,,,,,,,,,112757000.000,101499000.000,99951000.000,98635000.000,89435000.000,81047000.000,84095000.000,75416000.000,70957000.000,68499000.000,78031000.000,,,,,,
1474627,,38983491.000,40937960.000,31629258.000,30701119.000,30424069.000,31961918.000,32692977.000,,,,,,,,,,,,,,,,,,
1392902,,,,,,,,,8500.000,600.000,600.000,2540.000,6700.000,5576.000,,1050.000,965.000,583559.000,408234.000,350825.000,358972.000,386795.000,353919.000,2523.000,4073.000,
1421636,,,,,,,,,,,,,,,,,,,,,,,,,,
6494,,3487849.000,3771789.000,3589354.000,3195838.000,,3142013.000,2697784.000,2438266.000,2743549.000,2487117.000,2265857.000,4418671.000,4377534.000,4206845.000,4485901.000,4613341.000,5418423.000,4835490.000,8169324.000,10029384.000,4886106.000,3584364.000,3330846.000,2559110.000,
1439242,,0.000,,,,,,,,,,,,,,,,,,,,,,,,
33213,615436000.000,799385000.000,968893000.000,1690134000.000,1604630000.000,1213553000.000,1227927000.000,852845000.000,657084000.000,577408000.000,933291000.000,1255425000.000,1370173000.000,1964177000.000,1859218000.000,1904323000.000,2522485000.000,2490307000.000,2262821000.000,2251019000.000,2156358000.000,2613889000.000,2146069000.000,1828219000.000,1251953000.000,996853000.000
1388180,,,3215.000,,2367762.000,2056137.000,1625923.000,1459173.000,1710308.000,1886377.000,1979946.000,1516749.000,1300945.000,1554557.000,1704615.000,1227039.000,1475926.000,1405015.000,919035.000,1053443.000,1739477.000,2042549.000,2063432.000,2375353.000,2100742.000,
1517248,,,,,282335.000,,198777.000,151645.000,,,,,,,,,,,,,,,,,,
1065696,852117000.000,890376000.000,936590000.000,1149735000.000,1174278000.000,1253007000.000,1296349000.000,1384351000.000,1399562000.000,1658490000.000,1675651000.000,1799817000.000,2093481000.000,2240726000.000,2345538000.000,2317417000.000,2337179000.000,2372621000.000,2387143000.000,2340712000.000,2993887000.000,3298428000.000,3295541000.000,3567594000.000,3318126000.000,
1161582,,433825.000,314114.000,244922.000,208059.000,,610719.000,472004.000,661511.000,1510127.000,1213802.000,3381915.000,2649707.000,,1227832.000,1244963.000,1023810.000,655945.000,515017.000,475555.000,540468.000,514382.000,,532686.000,514649.000,
1130888,,,10016665.000,9975568.000,9622146.000,9433999.000,8427022.000,8042127.000,7632356.000,,,,,,,,,,,,,,,,,
1389217,,,1404412.000,1159088.000,1028832.000,,880974.000,638187.000,944673.000,1075769.000,2102933.000,1837989.000,1766106.000,765947.000,617726.000,897981.000,902367.000,869798.000,979744.000,,,,,,,
719274,,14036000.000,13906000.000,9969000.000,8663000.000,,9286000.000,8642000.000,8609000.000,7518000.000,6492000.000,6229000.000,6575000.000,7920000.000,7547000.000,7449000.000,7262000.000,7750000.000,7423000.000,7401000.000,9481000.000,10126000.000,9884000.000,10412000.000,7638000.000,
1364954,,,,,,,,,,,,,108406000.000,74552000.000,111049000.000,110814000.000,102166000.000,99156000.000,151249000.000,132835000.000,124130000.000,108430000.000,139282000.000,111373000.000,103915000.000,
