SEC ID,Report date,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,ComprehensiveIncomeNetOfTax,EarningsPerShareDiluted,Goodwill,Liabilities,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,OperatingIncomeLoss,PropertyPlantAndEquipmentNet,Revenues,WeightedAverageNumberOfDilutedSharesOutstanding
827871,2016-12-31,214320000.000,109110000.000,52820000.000,,4.960,39743000.000,,40965000.000,-33670000.000,-45800000.000,53207000.000,53351000.000,3316000.000,189482000.000,16434104.000
1528103,2015-12-31,8977300.000,1450034.000,587819.000,,,,5235508.000,699086.000,-1000000.000,-1823847.000,-365186.000,-1727590.000,7516262.000,2198721.000,
1191857,2012-12-31,33139000.000,16842000.000,3641000.000,,0.510,,5133000.000,3307000.000,101000.000,-5152000.000,4792000.000,2791000.000,15499000.000,59284000.000,3318000.000
1523733,2013-12-31,769945000.000,123558000.000,25424000.000,175043000.000,,,436894000.000,68838000.000,-138866000.000,-58169000.000,191025000.000,224319000.000,612448000.000,757488000.000,
1543272,2016-12-31,27767.000,27767.000,26767.000,,-0.660,,975106.000,975106.000,363882.000,,-337415.000,-10232975.000,,1000.000,16526202.000
1180262,2016-12-31,2565400000.000,1462500000.000,844000000.000,220400000.000,3.020,89900000.000,2369100000.000,791500000.000,-252300000.000,-141300000.000,367300000.000,458100000.000,378000000.000,4552200000.000,86100000.000
1358633,2014-12-31,596.000,596.000,596.000,,,,,61000.000,37569.000,,-38642.000,,,0.000,
1300662,2012-12-31,1232655.000,462222.000,135788.000,,,,1281969.000,1123092.000,142508.000,-111388.000,-173189.000,-435709.000,15234.000,14569659.000,
37637,2016-12-31,132761000000.000,8039000000.000,392000000.000,2865000000.000,3.110,19425000000.000,91720000000.000,11551000000.000,4270000000.000,-11533000000.000,6798000000.000,5341000000.000,82520000000.000,22743000000.000,691000000.000
763532,2016-06-30,195560000.000,127743000.000,33835000.000,,0.370,10508000.000,40040000.000,39233000.000,-216000.000,-10143000.000,17785000.000,13956000.000,47462000.000,322196000.000,25592000.000
1417425,2011-12-31,515303.000,467227.000,444322.000,,,,11818545.000,2754882.000,933749.000,,-2151557.000,-4448570.000,,,
1014763,2016-12-31,462676.000,262399.000,134125.000,,,,1272575.000,1272575.000,782125.000,-148330.000,-520808.000,-667111.000,44214.000,,
1289308,2016-03-31,2214488000.000,1296239000.000,397307000.000,147776000.000,2.990,353547000.000,1190056000.000,451171000.000,-105729000.000,-80923000.000,307571000.000,209999000.000,357409000.000,135386000.000,45474130.000
1284506,2013-12-31,939648000.000,,52797000.000,7060000.000,1.550,,845636000.000,,-41854000.000,6532000.000,21180000.000,,35036000.000,,6494089.000
103379,2016-12-31,9739287000.000,4293098000.000,1227862000.000,1075865000.000,2.540,1736959000.000,4798366000.000,1785400000.000,-1076879000.000,-112414000.000,1477919000.000,1499226000.000,939650000.000,12019003000.000,416103000.000
913778,2017-03-31,27397560.000,,27209997.000,,,,40913371.000,,0.000,18806644.000,-13324716.000,,,370736.000,
1525998,2015-12-31,241370000.000,65509000.000,,-101242000.000,-2.620,0.000,407636000.000,53471000.000,-55240000.000,-36443000.000,79478000.000,-81099000.000,,340731000.000,38924000.000
